Humedad (%),Temp. (C),Temp. (F),Indice (C),Indice (F),TimeStamp
69.00,22.30,72.14,22.39,72.30,02:17:41
68.00,22.30,72.14,22.36,72.25,02:19:43
69.00,22.30,72.14,22.39,72.30,02:21:46
69.00,22.10,71.78,22.17,71.90,02:23:48
69.00,22.10,71.78,22.17,71.90,02:25:51
69.00,22.00,71.60,22.06,71.70,02:27:53
70.00,22.00,71.60,22.08,71.75,02:29:56
68.00,21.80,71.24,21.81,71.26,02:31:58
68.00,21.80,71.24,21.81,71.26,02:34:01
68.00,21.80,71.24,21.81,71.26,02:36:03
68.00,21.70,71.06,21.70,71.06,02:38:06
68.00,21.70,71.06,21.70,71.06,02:40:08
68.00,21.50,70.70,21.48,70.67,02:42:11
69.00,21.50,70.70,21.51,70.71,02:44:14
69.00,21.50,70.70,21.51,70.71,02:46:16
69.00,21.40,70.52,21.40,70.51,02:48:19
69.00,21.40,70.52,21.40,70.51,02:50:21
69.00,21.30,70.34,21.29,70.32,02:52:24
70.00,21.40,70.52,21.42,70.56,02:54:26
70.00,21.30,70.34,21.31,70.36,02:56:29
70.00,21.30,70.34,21.31,70.36,02:58:31
70.00,21.20,70.16,21.20,70.17,03:00:34
70.00,21.20,70.16,21.20,70.17,03:02:37
70.00,21.10,69.98,21.09,69.97,03:04:39
70.00,21.10,69.98,21.09,69.97,03:06:42
71.00,21.10,69.98,21.12,70.01,03:08:44
70.00,21.00,69.80,20.98,69.77,03:10:47
71.00,21.10,69.98,21.12,70.01,03:12:49
71.00,21.10,69.98,21.12,70.01,03:14:52
71.00,21.00,69.80,21.01,69.82,03:16:55
71.00,21.00,69.80,21.01,69.82,03:18:57
71.00,21.00,69.80,21.01,69.82,03:21:00
71.00,21.00,69.80,21.01,69.82,03:23:02
71.00,21.00,69.80,21.01,69.82,03:25:05
71.00,21.00,69.80,21.01,69.82,03:27:07
71.00,21.00,69.80,21.01,69.82,03:29:10
70.00,20.90,69.62,20.87,69.57,03:31:12
70.00,20.90,69.62,20.87,69.57,03:33:15
70.00,20.90,69.62,20.87,69.57,03:35:18
70.00,20.90,69.62,20.87,69.57,03:37:20
70.00,20.90,69.62,20.87,69.57,03:39:23
70.00,20.90,69.62,20.87,69.57,03:41:25
70.00,20.90,69.62,20.87,69.57,03:43:28
70.00,20.90,69.62,20.87,69.57,03:45:30
71.00,20.80,69.44,20.79,69.42,03:47:33
70.00,20.80,69.44,20.76,69.37,03:49:35
70.00,20.80,69.44,20.76,69.37,03:51:38
70.00,20.80,69.44,20.76,69.37,03:53:40
70.00,20.80,69.44,20.76,69.37,03:55:43
70.00,20.90,69.62,20.87,69.57,03:57:46
70.00,20.80,69.44,20.76,69.37,03:59:48
71.00,20.80,69.44,20.79,69.42,04:01:51
70.00,20.80,69.44,20.76,69.37,04:03:53
71.00,20.80,69.44,20.79,69.42,04:05:56
71.00,20.70,69.26,20.68,69.22,04:07:59
71.00,20.70,69.26,20.68,69.22,04:10:01
71.00,20.70,69.26,20.68,69.22,04:12:04
71.00,20.70,69.26,20.68,69.22,04:14:06
71.00,20.60,69.08,20.57,69.02,04:16:09
71.00,20.70,69.26,20.68,69.22,04:18:11
71.00,20.70,69.26,20.68,69.22,04:20:14
71.00,20.70,69.26,20.68,69.22,04:22:16
71.00,20.70,69.26,20.68,69.22,04:24:19
71.00,20.70,69.26,20.68,69.22,04:26:22
71.00,20.60,69.08,20.57,69.02,04:28:24
71.00,20.60,69.08,20.57,69.02,04:30:27
71.00,20.60,69.08,20.57,69.02,04:32:28
71.00,20.60,69.08,20.57,69.02,04:34:31
71.00,20.60,69.08,20.57,69.02,04:36:33
71.00,20.60,69.08,20.57,69.02,04:38:36
71.00,20.60,69.08,20.57,69.02,04:40:38
71.00,20.60,69.08,20.57,69.02,04:42:41
71.00,20.60,69.08,20.57,69.02,04:44:44
71.00,20.50,68.90,20.46,68.83,04:46:46
71.00,20.60,69.08,20.57,69.02,04:48:49
71.00,20.50,68.90,20.46,68.83,04:50:51
71.00,20.50,68.90,20.46,68.83,04:52:54
71.00,20.60,69.08,20.57,69.02,04:54:56
71.00,20.50,68.90,20.46,68.83,04:56:59
71.00,20.50,68.90,20.46,68.83,04:59:01
71.00,20.50,68.90,20.46,68.83,05:01:04
71.00,20.50,68.90,20.46,68.83,05:03:06
71.00,20.50,68.90,20.46,68.83,05:05:09
72.00,20.50,68.90,20.49,68.87,05:07:11
72.00,20.50,68.90,20.49,68.87,05:09:14
72.00,20.50,68.90,20.49,68.87,05:11:16
71.00,20.50,68.90,20.46,68.83,05:13:19
